author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/297087850/;Москва;sale;flat;51;75;1;123.0;99000000;Пресненский;1-й Красногвардейский проезд;15;Деловой центр;Меркурий Тауэр
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299330003/;Москва;sale;flat;63;66;1;86.0;96000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
SITRealty;real_estate_agent;https://www.cian.ru/sale/flat/300609717/;Москва;sale;flat;4;7;1;40.0;9850000;; Медовая Долина;2;Санино;Баркли Медовая долина
ID 85493597;homeowner;https://www.cian.ru/sale/flat/291715624/;Москва;sale;flat;2;15;1;34.3;10900000;Северное Бутово; Грина;28К1;Бульвар Дмитрия Донского;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/302138352/;Москва;sale;flat;6;22;1;38.8;14000000;Свиблово;Игарский проезд;19;Свиблово;
ID 82221388;homeowner;https://www.cian.ru/sale/flat/301873640/;Москва;sale;flat;7;12;1;35.3;13490000;Коньково;Профсоюзная ;105;Коньково;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301903506/;Москва;sale;flat;5;5;1;23.0;5900000;Вешняки;аллея Первой Маевки;15с1;Вешняки;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/299765922/;Москва;sale;flat;9;14;1;39.1;9500000;Ново-Переделкино;Новоорловская ;16;Новопеределкино;
ID 88240881;homeowner;https://www.cian.ru/sale/flat/301874646/;Москва;sale;flat;10;12;1;46.0;17700000;Филевский парк;Береговой проезд;9К5;Фили;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/300594074/;Москва;sale;flat;3;12;1;35.0;10000000;Западное Дегунино; Ивана Сусанина;4К1;Моссельмаш;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301134253/;Москва;sale;flat;9;14;1;35.0;8990000;Южное Тушино;проезд Донелайтиса;12К1;Трикотажная;
ID 12878180;homeowner;https://www.cian.ru/sale/flat/301439558/;Москва;sale;flat;14;19;1;45.7;18300000;Войковский;5-й Войковский проезд;16к2;Войковская;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301270505/;Москва;sale;flat;4;9;1;45.2;8699000;; Андерсена;2;Коммунарка;Андерсен
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301507508/;Москва;sale;flat;3;16;1;35.0;9900000;Восточное Дегунино;Дубнинская ;32К3;Бескудниково;
Анна Климова;realtor;https://www.cian.ru/sale/flat/298284201/;Москва;sale;flat;1;9;1;35.5;7300000;Бирюлево Западное;Востряковский проезд;3К1;Пражская;
ГОРОДА;real_estate_agent;https://www.cian.ru/sale/flat/301447982/;Москва;sale;flat;7;12;1;40.0;11500000;Восточное Дегунино;Дубнинская ;22К3;Дегунино;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/301019177/;Москва;sale;flat;31;34;1;36.0;22000000;Хорошево-Мневники;Шелепихинская набережная;34;Шелепиха;Сердце Столицы
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/295758505/;Москва;sale;flat;6;9;1;32.8;8900000;Печатники;Шоссейная ;3;Печатники;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/301036854/;Москва;sale;flat;3;23;1;36.0;16590000;Лефортово;Красноказарменная ;14Ак2;Авиамоторная;Пётр I
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302123739/;Москва;sale;flat;37;37;1;48.0;42000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/297233032/;Москва;sale;flat;12;12;1;39.0;9750000;Гольяново;Уральская ;1;Щёлковская;
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/293760838/;Москва;sale;flat;18;48;1;42.4;19450000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299888104/;Москва;sale;flat;44;65;1;52.0;44000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Диана Тухбатуллина;realtor;https://www.cian.ru/sale/flat/300400527/;Москва;sale;flat;3;5;1;31.0;8490000;; Харлампиева;30к1;Филатов Луг;Спортивный квартал
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297303079/;Москва;sale;flat;23;43;1;45.0;28900000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299860953/;Москва;sale;flat;9;41;1;40.5;27000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
ID 96167522;realtor;https://www.cian.ru/sale/flat/298016918/;Москва;sale;flat;3;9;1;30.3;6825000;Люблино; Верхние Поля;27С2;Братиславская;
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292933473/;Москва;sale;flat;16;40;1;41.1;31500000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/300557016/;Москва;sale;flat;8;41;1;41.5;34000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
ЛэндЛ;real_estate_agent;https://www.cian.ru/sale/flat/294760157/;Москва;sale;flat;5;16;1;20.3;6900000;Очаково-Матвеевское;Аминьевское шоссе;17;Давыдково;
Антон Белов;realtor;https://www.cian.ru/sale/flat/297215041/;Москва;sale;flat;13;14;1;38.7;17990000;Таганский;переулок Ковров;1;Москва-Товарная;
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/301837625/;Москва;sale;flat;7;12;1;35.0;11000000;Лучшая просторная 1 к.кв. в е!1-комн. квартира;35 м²;;;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/302056803/;Москва;sale;flat;1;12;1;39.2;12000000;Нагатинский затон;Коломенская ;5;Нагатинский Затон;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301782648/;Москва;sale;flat;10;21;1;65.0;67000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/299893948/;Москва;sale;flat;5;16;1;38.9;11590000;Отрадное;Алтуфьевское шоссе;2;Владыкино;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/301970812/;Москва;sale;flat;12;12;1;38.7;10250000;Ярославский; Проходчиков;17;Медведково;
ФОРА;real_estate_agent;https://www.cian.ru/sale/flat/294768332/;Москва;sale;flat;4;6;1;39.3;15300000;Хорошевский;2-й Хорошевский проезд;9К1;Полежаевская;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/300329807/;Москва;sale;flat;3;18;1;48.0;31990000;Раменки; Янковского;1к2;Аминьевская;Событие
РОСТ-РИЕЛТ на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/299798021/;Москва;sale;flat;2;9;1;31.0;9000000;Соколиная гора;Измайловское шоссе;29;Семёновская;
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299723346/;Москва;sale;flat;63;66;1;86.0;90000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/302033781/;Москва;sale;flat;3;5;1;30.6;13900000;Дмитровский;Икшинская ;10;Яхромская;
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/301997376/;Москва;sale;flat;9;14;1;39.0;10350000;Коптево;3-й Михалковский переулок;15К4;Коптево;
Юлия Иванова;realtor;https://www.cian.ru/sale/flat/301083049/;Москва;sale;flat;45;52;1;43.1;25450000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
ID 115781716;realtor;https://www.cian.ru/sale/flat/301542108/;Москва;sale;flat;7;22;1;38.2;19796539;Покровское-Стрешнево;Летная ;95Бк2;Спартак;ÁLIA
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/299795791/;Москва;sale;flat;9;11;1;35.7;12000000;Алексеевский; Павла Корчагина;13;ВДНХ;
Estes;real_estate_agent;https://www.cian.ru/sale/flat/300647536/;Москва;sale;flat;4;12;1;38.7;12350000;Нагатино-Садовники;Коломенский проезд;14К1;Каширская;
Алексей Тюрин;realtor;https://www.cian.ru/sale/flat/299184972/;Москва;sale;flat;18;35;1;38.0;22500000;Раменки;Мосфильмовская ;98к2;Аминьевская;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/301063006/;Москва;sale;flat;10;16;1;39.0;9000000;Ярославский;Ярославское шоссе;57;ВДНХ;
ID 51622949;homeowner;https://www.cian.ru/sale/flat/296922118/;Москва;sale;flat;13;15;1;44.0;25490000;Нагатинский затон; Корабельная;17к3;Нагатинский Затон;Ривер Парк Коломенское
ID 44147381;realtor;https://www.cian.ru/sale/flat/301719443/;Москва;sale;flat;5;8;1;35.0;19850000;Тверской;Лесная ;63/43с2;Менделеевская;
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/302078945/;Москва;sale;flat;3;22;1;37.3;14500000;Фили-Давыдково;Малая Филевская ;18;Пионерская;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/300136415/;Москва;sale;flat;12;14;1;54.5;35700000;Пресненский; Малая Грузинская;28;Краснопресненская;
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/302078953/;Москва;sale;flat;5;25;1;36.3;12500000;Марьино;Донецкая ;34к2;Курьяново;Домашний
