author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296470579/,Москва,sale,flat,3,15,3,104.0,65200000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/295370167/,Москва,sale,flat,2,6,3,110.5,99000000,Пресненский,Малая Бронная ,32,Маяковская,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539749/,Москва,sale,flat,8,8,3,81.0,50000000,Арбат, Арбат,51С1,Смоленская,
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822468/,Москва,sale,flat,5,21,3,116.8,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Marry Lane Group,real_estate_agent,https://www.cian.ru/sale/flat/293722790/,Москва,sale,flat,15,15,3,97.0,54000000,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь
ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/301269319/,Москва,sale,flat,11,14,3,64.7,16800000,Лосиноостровский, Коминтерна,22К1,Бабушкинская,
ID 413522,realtor,https://www.cian.ru/sale/flat/301735001/,Москва,sale,flat,5,21,3,116.78,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ID 85604823,unknown,https://www.cian.ru/sale/flat/299433436/,Москва,sale,flat,6,15,3,100.0,50000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
Бизнес Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301298807/,Москва,sale,flat,5,9,3,53.0,16400000,Восточное Измайлово,Нижняя Первомайская ,33,Первомайская,
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302059022/,Москва,sale,flat,4,6,3,76.8,49500000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301559691/,Москва,sale,flat,2,4,3,140.0,227188480,Мещанский,Рождественский бульвар,10/7С1,Трубная,
BERI,real_estate_agent,https://www.cian.ru/sale/flat/300567591/,Москва,sale,flat,4,5,3,83.4,34990000,Хамовники,Смоленский бульвар,17С1,Смоленская,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/300693722/,Москва,sale,flat,6,15,3,118.0,149500000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
ID 1390606,real_estate_agent,https://www.cian.ru/sale/flat/301753663/,Москва,sale,flat,8,18,3,100.0,193500000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/301352993/,Москва,sale,flat,8,9,3,68.3,15600000,Ясенево,проезд Карамзина,1К1,Ясенево,
Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/301734677/,Москва,sale,flat,11,11,3,150.0,195000000,Хамовники, Ефремова,10к2,Спортивная,Садовые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301124778/,Москва,sale,flat,11,11,3,150.0,200000000,Хамовники, Ефремова,10с1к4/1,Фрунзенская,Садовые кварталы
ID 37365638,homeowner,https://www.cian.ru/sale/flat/299960308/,Москва,sale,flat,2,9,3,56.3,18500000,Преображенское,Большая Черкизовская ,11,Преображенская площадь,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006042/,Москва,sale,flat,4,6,3,145.0,167000000,Пресненский,Большой Гнездниковский переулок,3,Тверская,Респект
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/294106848/,Москва,sale,flat,4,6,3,145.0,167000000,Пресненский,Большой Гнездниковский переулок,3,Тверская,Респект
Дмитрий Казаченко,realtor,https://www.cian.ru/sale/flat/301187444/,Москва,sale,flat,5,10,3,63.0,13850000,Южное Бутово, Брусилова,33к1,Щербинка,
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302010939/,Москва,sale,flat,5,18,3,150.0,175000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/286052480/,Москва,sale,flat,24,65,3,225.0,173876730,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/299508883/,Москва,sale,flat,5,9,3,54.0,13300000,Ясенево,Новоясеневский проспект,21К1,Новоясеневская,
ID 85604823,unknown,https://www.cian.ru/sale/flat/299480760/,Москва,sale,flat,4,8,3,112.0,55000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
ID 413522,realtor,https://www.cian.ru/sale/flat/301734998/,Москва,sale,flat,10,13,3,150.7,169480000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
ИП Самарская М.И.,real_estate_agent,https://www.cian.ru/sale/flat/301421793/,Москва,sale,flat,10,17,3,73.7,22000000,Кунцево,Бобруйская ,6К2,Молодёжная,
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/301734716/,Москва,sale,flat,4,6,3,170.0,178900000,Хамовники, Усачева,11Ж,Спортивная,Садовые кварталы
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/281364422/,Москва,sale,flat,11,12,3,171.0,130000000,Пресненский, Красная Пресня,21,Краснопресненская,
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/300818798/,Москва,sale,flat,2,20,3,75.0,28950000,Академический,Новочеремушкинская ,35,Профсоюзная,
На Петровке,real_estate_agent,https://www.cian.ru/sale/flat/292932855/,Москва,sale,flat,61,79,3,110.5,125000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300733009/,Москва,sale,flat,12,12,3,243.0,350000000,Хамовники, Усачева,11И,Спортивная,Садовые кварталы
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006012/,Москва,sale,flat,8,8,3,81.0,50000000,Арбат, Арбат,51С1,Смоленская,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/298057191/,Москва,sale,flat,3,15,3,118.7,135000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/301903899/,Москва,sale,flat,5,15,3,150.0,175000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301200484/,Москва,sale,flat,3,9,3,57.5,13599000,Вешняки, Молдагуловой,10К3,Вешняки,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/286007029/,Москва,sale,flat,4,6,3,169.0,190000000,Хамовники, Усачева,11,Спортивная,Садовые кварталы
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/299145698/,Москва,sale,flat,8,18,3,99.7,114000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/300364688/,Москва,sale,flat,9,10,3,60.0,27400000,ЛУЧШАЯ кв-ра в е!Свежий ремонт3-комн. квартира,60 м²,,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/297949569/,Москва,sale,flat,8,8,3,106.3,135000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/299143568/,Москва,sale,flat,9,18,3,99.7,120000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
BERI,real_estate_agent,https://www.cian.ru/sale/flat/296783170/,Москва,sale,flat,6,9,3,57.6,19990000,Сокол, Зорге,28,Зорге,
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/301734699/,Москва,sale,flat,6,13,3,107.5,160500000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293668197/,Москва,sale,flat,4,5,3,150.8,219580001,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/296664650/,Москва,sale,flat,12,12,3,70.0,15500000,Зюзино,Одесская ,18К3,Зюзино,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/295229141/,Москва,sale,flat,6,12,3,107.0,160500000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300824521/,Москва,sale,flat,25,30,3,134.0,66000000,Проспект Вернадского,проспект Вернадского,37к1А,Проспект Вернадского,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300661318/,Москва,sale,flat,8,29,3,80.0,37200000,Раменки,Мосфильмовская ,74Б,Ломоносовский проспект,Мосфильмовская
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/281642517/,Москва,sale,flat,7,9,3,135.0,156000000,Замоскворечье, Бахрушина,13,Павелецкая,
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300835738/,Москва,sale,flat,15,25,3,96.0,43000000,Филевский парк,Береговой проезд,5Ак4,Фили,Фили Град
Князев и Партнёры,real_estate_agent,https://www.cian.ru/sale/flat/299495945/,Москва,sale,flat,4,6,3,68.5,22990000,Басманный,Спартаковский переулок,26С2,Бауманская,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680555/,Москва,sale,flat,10,13,3,150.7,170000000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/287679683/,Москва,sale,flat,3,18,3,126.3,75000000,Пресненский,Большая Грузинская ,37С2,Белорусская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/298880124/,Москва,sale,flat,5,5,3,60.0,32100000,Пресненский,Хлебный переулок,14,Арбатская,
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/300564787/,Москва,sale,flat,25,41,3,114.0,75000000,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301966307/,Москва,sale,flat,17,41,3,88.3,59000000,Хорошевский,Ленинградский проспект,37/7,Аэропорт,Прайм Парк
